country,year,sex,age,suicides_no,population
Kyrgyzstan,1993,female,15-24 years,16.0,400400.0
Kyrgyzstan,1993,female,25-34 years,21.0,346600.0
Kyrgyzstan,1993,female,35-54 years,31.0,380700.0
Kyrgyzstan,1993,female,5-14 years,3.0,531800.0
Kyrgyzstan,1993,female,55-74 years,34.0,247700.0
Kyrgyzstan,1993,female,75+ years,16.0,54100.0
Kyrgyzstan,1993,male,15-24 years,73.0,414400.0
Kyrgyzstan,1993,male,25-34 years,92.0,344400.0
Kyrgyzstan,1993,male,35-54 years,168.0,366800.0
Kyrgyzstan,1993,male,5-14 years,11.0,543400.0
Kyrgyzstan,1993,male,55-74 years,85.0,189100.0
Kyrgyzstan,1993,male,75+ years,13.0,21800.0
Kyrgyzstan,1994,female,15-24 years,12.0,403900.0
Kyrgyzstan,1994,female,25-34 years,10.0,338900.0
Kyrgyzstan,1994,female,35-54 years,25.0,383400.0
Kyrgyzstan,1994,female,5-14 years,5.0,539900.0
Kyrgyzstan,1994,female,55-74 years,28.0,245200.0
Kyrgyzstan,1994,female,75+ years,8.0,52100.0
Kyrgyzstan,1994,male,15-24 years,78.0,415300.0
Kyrgyzstan,1994,male,25-34 years,116.0,339900.0
Kyrgyzstan,1994,male,35-54 years,174.0,369000.0
Kyrgyzstan,1994,male,5-14 years,11.0,552600.0
Kyrgyzstan,1994,male,55-74 years,102.0,190400.0
Kyrgyzstan,1994,male,75+ years,12.0,20500.0
Kyrgyzstan,1995,female,15-24 years,41.0,412500.0
Kyrgyzstan,1995,female,25-34 years,21.0,334900.0
Kyrgyzstan,1995,female,35-54 years,35.0,394200.0
Kyrgyzstan,1995,female,5-14 years,3.0,550900.0
Kyrgyzstan,1995,female,55-74 years,32.0,246200.0
Kyrgyzstan,1995,female,75+ years,6.0,51600.0
Kyrgyzstan,1995,male,15-24 years,85.0,420500.0
Kyrgyzstan,1995,male,25-34 years,100.0,339500.0
Kyrgyzstan,1995,male,35-54 years,180.0,378800.0
Kyrgyzstan,1995,male,5-14 years,5.0,564200.0
Kyrgyzstan,1995,male,55-74 years,88.0,192400.0
Kyrgyzstan,1995,male,75+ years,9.0,19700.0
Kyrgyzstan,1996,female,15-24 years,18.0,421700.0
Kyrgyzstan,1996,female,25-34 years,21.0,333700.0
Kyrgyzstan,1996,female,35-54 years,17.0,410200.0
Kyrgyzstan,1996,female,5-14 years,3.0,561600.0
Kyrgyzstan,1996,female,55-74 years,17.0,246900.0
Kyrgyzstan,1996,female,75+ years,12.0,51200.0
Kyrgyzstan,1996,male,15-24 years,71.0,427600.0
Kyrgyzstan,1996,male,25-34 years,84.0,341300.0
Kyrgyzstan,1996,male,35-54 years,142.0,394300.0
Kyrgyzstan,1996,male,5-14 years,6.0,576500.0
Kyrgyzstan,1996,male,55-74 years,81.0,194300.0
Kyrgyzstan,1996,male,75+ years,8.0,19500.0
Kyrgyzstan,1997,female,15-24 years,17.0,430200.0
Kyrgyzstan,1997,female,25-34 years,17.0,336800.0
Kyrgyzstan,1997,female,35-54 years,24.0,429500.0
Kyrgyzstan,1997,female,5-14 years,1.0,570800.0
Kyrgyzstan,1997,female,55-74 years,21.0,245800.0
Kyrgyzstan,1997,female,75+ years,7.0,52200.0
Kyrgyzstan,1997,male,15-24 years,90.0,436400.0
Kyrgyzstan,1997,male,25-34 years,83.0,344700.0
Kyrgyzstan,1997,male,35-54 years,143.0,411600.0
Kyrgyzstan,1997,male,5-14 years,14.0,587300.0
Kyrgyzstan,1997,male,55-74 years,72.0,194800.0
Kyrgyzstan,1997,male,75+ years,7.0,19800.0
Kyrgyzstan,1998,female,15-24 years,22.0,439800.0
Kyrgyzstan,1998,female,25-34 years,20.0,341000.0
Kyrgyzstan,1998,female,35-54 years,24.0,452600.0
Kyrgyzstan,1998,female,5-14 years,3.0,576000.0
Kyrgyzstan,1998,female,55-74 years,16.0,240600.0
Kyrgyzstan,1998,female,75+ years,3.0,54200.0
Kyrgyzstan,1998,male,15-24 years,89.0,447700.0
Kyrgyzstan,1998,male,25-34 years,101.0,349000.0
Kyrgyzstan,1998,male,35-54 years,127.0,431400.0
Kyrgyzstan,1998,male,5-14 years,18.0,593800.0
Kyrgyzstan,1998,male,55-74 years,79.0,192900.0
Kyrgyzstan,1998,male,75+ years,7.0,20700.0
Kyrgyzstan,1999,female,15-24 years,23.0,463100.0
Kyrgyzstan,1999,female,25-34 years,18.0,368000.0
Kyrgyzstan,1999,female,35-54 years,22.0,488600.0
Kyrgyzstan,1999,female,5-14 years,2.0,582600.0
Kyrgyzstan,1999,female,55-74 years,23.0,227800.0
Kyrgyzstan,1999,female,75+ years,11.0,54700.0
Kyrgyzstan,1999,male,15-24 years,87.0,471200.0
Kyrgyzstan,1999,male,25-34 years,104.0,373200.0
Kyrgyzstan,1999,male,35-54 years,178.0,466100.0
Kyrgyzstan,1999,male,5-14 years,12.0,595600.0
Kyrgyzstan,1999,male,55-74 years,71.0,183800.0
Kyrgyzstan,1999,male,75+ years,5.0,23400.0
Kyrgyzstan,2000,female,15-24 years,24.0,475445.0
Kyrgyzstan,2000,female,25-34 years,13.0,372683.0
