country,year,sex,age,suicides_no,population
Greece,1984,male,5-14 years,2.0,734200.0
Greece,1984,male,55-74 years,87.0,856800.0
Greece,1984,male,75+ years,35.0,226300.0
Greece,1985,female,15-24 years,13.0,720500.0
Greece,1985,female,25-34 years,18.0,679100.0
Greece,1985,female,35-54 years,35.0,1326900.0
Greece,1985,female,5-14 years,0.0,684600.0
Greece,1985,female,55-74 years,47.0,1000100.0
Greece,1985,female,75+ years,15.0,317900.0
Greece,1985,male,15-24 years,35.0,775900.0
Greece,1985,male,25-34 years,40.0,682900.0
Greece,1985,male,35-54 years,82.0,1248900.0
Greece,1985,male,5-14 years,0.0,731000.0
Greece,1985,male,55-74 years,85.0,874300.0
Greece,1985,male,75+ years,35.0,233300.0
Greece,1986,female,15-24 years,13.0,723300.0
Greece,1986,female,25-34 years,10.0,683900.0
Greece,1986,female,35-54 years,28.0,1321900.0
Greece,1986,female,5-14 years,0.0,681800.0
Greece,1986,female,55-74 years,33.0,1018800.0
Greece,1986,female,75+ years,17.0,328000.0
Greece,1986,male,15-24 years,43.0,773400.0
Greece,1986,male,25-34 years,53.0,695900.0
Greece,1986,male,35-54 years,63.0,1246900.0
Greece,1986,male,5-14 years,0.0,729600.0
Greece,1986,male,55-74 years,86.0,889600.0
Greece,1986,male,75+ years,47.0,240900.0
Greece,1987,female,15-24 years,12.0,738200.0
Greece,1987,female,25-34 years,9.0,692400.0
Greece,1987,female,35-54 years,35.0,1282300.0
Greece,1987,female,5-14 years,1.0,714000.0
Greece,1987,female,55-74 years,43.0,1027900.0
Greece,1987,female,75+ years,14.0,326300.0
Greece,1987,male,15-24 years,34.0,754200.0
Greece,1987,male,25-34 years,46.0,684500.0
Greece,1987,male,35-54 years,81.0,1253400.0
Greece,1987,male,5-14 years,3.0,753600.0
Greece,1987,male,55-74 years,78.0,917400.0
Greece,1987,male,75+ years,54.0,243200.0
Greece,1988,female,15-24 years,4.0,742800.0
Greece,1988,female,25-34 years,11.0,699600.0
Greece,1988,female,35-54 years,29.0,1281800.0
Greece,1988,female,5-14 years,0.0,707100.0
